,eyesight,aggression,speed,strength,stamina
eyesight,1.0,-0.01573034050127763,0.2595427684216143,-0.23275081656232818,-0.005943154820421263
aggression,-0.01573034050127763,1.0,-0.05127823903859871,0.012823844963752381,-0.043005108239515935
speed,0.2595427684216143,-0.05127823903859871,1.0,0.0648951277582875,0.01543877443851836
strength,-0.23275081656232818,0.012823844963752381,0.0648951277582875,1.0,-0.0029143621545808305
stamina,-0.005943154820421263,-0.043005108239515935,0.01543877443851836,-0.0029143621545808305,1.0
