,eyesight,aggression,speed,strength,stamina
eyesight,1.0,0.06636877725945793,0.9581365333744485,0.005029866175553949,0.7275709454129059
aggression,0.06636877725945793,1.0,0.0921955142860096,-0.16703009339610062,0.016880921307079567
speed,0.9581365333744485,0.0921955142860096,1.0,-0.16568748383211046,0.7734822065150638
strength,0.005029866175553949,-0.16703009339610062,-0.16568748383211046,1.0,-0.11051211672156058
stamina,0.7275709454129059,0.016880921307079567,0.7734822065150638,-0.11051211672156058,1.0
