,eyesight,aggression,speed,strength,stamina
eyesight,1.0,0.018577355865983747,0.3563986982472096,-0.361390194757266,0.038531604478575995
aggression,0.018577355865983747,1.0,0.03688535405874733,-0.02063639828609565,-0.06257305373316817
speed,0.3563986982472096,0.03688535405874733,1.0,-0.18118167207188277,0.16822009139671712
strength,-0.361390194757266,-0.02063639828609565,-0.18118167207188277,1.0,-0.13058524693022971
stamina,0.038531604478575995,-0.06257305373316817,0.16822009139671712,-0.13058524693022971,1.0
