,eyesight,aggression,speed,strength,stamina
eyesight,1.0,-0.011360234874081642,0.27950684357049593,-0.22989113712462805,-0.03829264124269847
aggression,-0.011360234874081642,1.0,0.013079643536390826,0.028964437994096648,-0.051615021006172095
speed,0.27950684357049593,0.013079643536390826,1.0,-0.022880533825422242,-0.0914788385571781
strength,-0.22989113712462805,0.028964437994096648,-0.022880533825422242,1.0,0.02390053283397764
stamina,-0.03829264124269847,-0.051615021006172095,-0.0914788385571781,0.02390053283397764,1.0
